Gemeente;Netto gemeenteschuld per inwoner|2015;Netto gemeenteschuld per inwoner|2016;Netto gemeenteschuld per inwoner|2017;Overlast zwervers|2015;Overlast zwervers|2016;Overlast zwervers|2017;Banen|2015;Banen|2016;Banen|2017;Vestigingen|2015;Vestigingen|2016;Vestigingen|2017;Faillissementen van bedrijven en instellingen inclusief eenmanszaken|2015;Faillissementen van bedrijven en instellingen inclusief eenmanszaken|2016;Faillissementen van bedrijven en instellingen inclusief eenmanszaken|2017;Vestigingen Landbouw|2015;Vestigingen Landbouw|2016;Vestigingen Landbouw|2017;Banen Vrouwen|2015;Banen Vrouwen|2016;Banen Vrouwen|2017;Personen met bijstand en bijstand gerelateerde uitkering|2015;Personen met bijstand en bijstand gerelateerde uitkering|2016;Personen met bijstand en bijstand gerelateerde uitkering|2017
Aa en Hunze;248;169;122;1,19;2,38;0,4;415,6;419,4;427,7;122,9;121,4;123,2;1,4;2,8;0,5;13,7;13,4;13,6;48;47;47;22;22,9;23,7
Aalsmeer;565;476;423;;1,6;0,96;647,4;644,3;656,8;114,7;117,1;121,6;3,1;4,5;3,8;5;4,5;4,3;36;36;37;12,1;12,8;12,3
Aalten;235;257;344;0,37;2,23;1,48;501,1;508,7;513,3;98,6;101,9;101,4;6,1;3;2,9;15,2;15,2;14,2;44;43;44;19,3;20,2;21,4
Achtkarspelen;1480;1385;1359;9,65;1,79;1,79;425;435;437;111,7;114,9;115,9;5;0;0,4;11,3;10,9;11,3;37;36;36;40,7;42,9;41,6
Alblasserdam;1989;1947;1911;1,51;0,5;3,5;609;612,8;622,7;93,4;98,6;103,2;5,9;1,9;3,7;0,8;0,7;0,7;36;36;36;24,5;26,3;28,1
Albrandswaard;1395;1607;1631;0,4;3,2;1,59;539,7;598,4;572;85;87,5;88,4;1,6;4,1;4,1;1,9;1,8;1,8;43;44;46;22,1;20,7;23,1
Alkmaar;3302;3259;3236;36,97;44,98;32,94;673,4;677;662,8;110,6;111,9;113,3;4;3,6;2,1;2,5;2,5;2,4;47;48;48;35;37,1;38,2
Almelo;3564;3403;2974;17,01;17,67;18,21;765,6;757,6;763,6;96,6;99,2;100,7;5,1;7,6;5,5;2,3;2,2;2,2;45;45;45;66,5;68,6;70,2
Almere;3134;3006;2563;5,13;6,86;12,09;520,8;532,6;524,9;111,3;117,1;118,2;7,3;3,6;4,5;0,5;0,5;0,5;47;46;47;50,5;50,8;51,6
Alphen aan den Rijn;901;1025;877;2,7;3,43;3,03;533,4;557,8;556,4;92,4;106;109,2;4,4;2,1;1,6;10,3;9,1;8,9;44;44;44;24;25,8;26,8
Alphen-Chaam;1106;1133;1130;4,1;9,07;2,98;425,9;414,5;413,9;143,3;144,3;146,7;3,6;1,8;2,6;20,8;20,2;20,5;43;44;44;12,7;13,7;16
Altena;980;1025;1295;0,37;1,66;0,18;478,6;475;486,3;121,3;121,7;124,8;4,2;2,7;3,2;7;6,7;6,5;39;39;39;14,2;16,2;17,2
Ameland;4402;4803;4745;8,36;;;783,4;794,4;805,6;202,4;207,9;199,6;0;0;0;11,1;10,7;11,1;45;46;45;3,6;3,5;3,4
Amersfoort;2085;1949;1874;13,05;9,44;16,26;727,1;716,1;719,3;126,8;130,4;132,8;5;3;3,6;0,6;0,5;0,5;47;47;47;37,4;38,8;39
Amstelveen;-318;-91;-257;1,03;0,68;2,58;735;819,1;824,1;146,6;152,7;157,9;2,3;3,5;2,6;0,9;0,8;0,8;47;45;45;18,7;19,4;20,6
Amsterdam;3576;3827;4350;2,52;5,05;10,14;925,5;950,6;954,6;201,7;213,7;218;3;3;2,4;0,1;0,1;0,1;44;44;44;80,6;79,4;79,4
Apeldoorn;3455;3287;2989;13,85;11,76;13,81;814,3;794,6;798,2;103;105,6;106,5;5,1;3;4,3;2,2;2,2;2;45;45;45;35,1;36,4;38,5
Arnhem;3933;3773;3741;16,02;20,67;22,22;859,2;845,1;850,4;116,7;120,4;120,5;5,7;4;3,5;0,4;0,3;0,3;50;50;50;77;80,1;82,5
