;Gemeente;Jaar;Gemeenteschuld;Overlast zwervers;Banen;Vestigingen;Faillisementen;%Landbouw van vestigingen;%Vrouw van banen;Aantal bijstandsuitkeringen
0;Aa en Hunze;2015;248;1,19;415,6;122,9;1,4;13,7;48;22,0
1;Aalsmeer;2015;565;;647,4;114,7;3,1;5,0;36;12,1
2;Aalten;2015;235;0,37;501,1;98,6;6,1;15,2;44;19,3
3;Achtkarspelen;2015;1480;9,65;425,0;111,7;5,0;11,3;37;40,7
4;Alblasserdam;2015;1989;1,51;609,0;93,4;5,9;0,8;36;24,5
5;Albrandswaard;2015;1395;0,4;539,7;85,0;1,6;1,9;43;22,1
6;Alkmaar;2015;3302;36,97;673,4;110,6;4,0;2,5;47;35,0
7;Almelo;2015;3564;17,01;765,6;96,6;5,1;2,3;45;66,5
8;Almere;2015;3134;5,13;520,8;111,3;7,3;0,5;47;50,5
9;Alphen aan den Rijn;2015;901;2,7;533,4;92,4;4,4;10,3;44;24,0
10;Alphen-Chaam;2015;1106;4,1;425,9;143,3;3,6;20,8;43;12,7
11;Altena;2015;980;0,37;478,6;121,3;4,2;7,0;39;14,2
12;Ameland;2015;4402;8,36;783,4;202,4;0,0;11,1;45;3,6
13;Amersfoort;2015;2085;13,05;727,1;126,8;5,0;0,6;47;37,4
14;Amstelveen;2015;-318;1,03;735,0;146,6;2,3;0,9;47;18,7
15;Amsterdam;2015;3576;2,52;925,5;201,7;3,0;0,1;44;80,6
16;Apeldoorn;2015;3455;13,85;814,3;103,0;5,1;2,2;45;35,1
17;Arnhem;2015;3933;16,02;859,2;116,7;5,7;0,4;50;77,0
18;Assen;2015;2995;16,97;793,1;90,0;7,5;1,6;50;50,3
19;Asten;2015;-659;6,04;605,7;138,5;1,8;14,9;42;17,4
20;Baarle-Nassau;2015;-626;1,52;633,6;158,4;3,6;22,8;44;20,0
21;Baarn;2015;950;2,05;637,7;155,9;3,3;1,1;49;22,5
22;Barendrecht;2015;1542;0,42;715,9;100,7;4,8;0,9;42;16,4
23;Barneveld;2015;3899;0,55;799,1;141,7;1,7;11,2;37;16,9
24;Beek;2015;-792;;776,2;117,6;2,2;2,7;32;26,8
25;Beekdaelen;2015;-820;0,83;385,3;106,4;3,1;5,4;40;22,2
26;Beemster;2015;950;;522,1;147,3;;20,2;36;14,1
27;Beesel;2015;-959;4,44;339,1;86,0;3,6;6,8;41;29,4
28;Berg en Dal;2015;441;3,21;513,9;99,1;7,7;5,5;58;31,8
29;Bergeijk;2015;1766;1,1;570,7;141,4;3,6;11,8;38;12,4
30;Bergen (L.);2015;238;0,76;430,4;112,8;5,2;16,7;39;22,4
31;Bergen (NH.);2015;2161;2,33;455,0;138,7;3,2;4,5;51;13,7
32;Bergen op Zoom;2015;3379;18,7;567,5;95,8;7,1;2,5;49;44,7
33;Berkelland;2015;-121;0,9;502,9;113,6;4,3;19,9;42;18,6
34;Bernheze;2015;1207;2,35;460,4;107,5;3,5;14,3;45;13,0
35;Best;2015;-319;3,13;772,1;113,7;3,4;2,8;38;23,5
36;Beuningen;2015;2805;0,4;403,2;100,9;3,1;4,6;45;24,8
37;Beverwijk;2015;1615;10,7;580,8;97,9;3,5;0,7;44;35,3
38;Bladel;2015;1381;1,51;872,9;129,2;4,1;9,3;43;12,0
39;Blaricum;2015;2194;;489,4;121,3;2,6;1,2;63;17,4
40;Bloemendaal;2015;1274;4,94;386,6;125,0;0,8;0,5;54;13,9
41;Bodegraven-Reeuwijk;2015;4265;3,61;593,1;114,4;3,4;8,2;39;13,2
42;Boekel;2015;2261;;459,3;111,9;3,0;23,5;48;16,6
43;Borger-Odoorn;2015;1257;;361,3;115,6;5,4;14,7;43;30,0
44;Borne;2015;3940;1,36;398,8;106,6;5,1;2,9;48;22,6
45;Borsele;2015;279;;588,3;141,2;2,0;18,7;29;16,6
46;Boxmeer;2015;3143;5,29;715,9;93,4;;14,9;47;18,1
47;Boxtel;2015;1213;1,54;614,2;94,6;5,3;6,9;40;22,0
48;Breda;2015;1444;22,55;736,8;120,3;4,7;1,2;48;40,4
49;Brielle;2015;-864;2,43;520,4;92,4;2,3;7,7;37;20,1
50;Bronckhorst;2015;-76;1,09;493,4;131,2;5,2;18,7;41;14,6
51;Brummen;2015;2300;1,43;484,7;102,1;1,3;7,5;38;22,4
52;Brunssum;2015;-202;3,14;348,3;73,4;2,3;0,6;53;48,3
53;Bunnik;2015;323;5,46;805,1;146,9;3,3;5,8;41;12,2
54;Bunschoten;2015;2167;0,48;681,0;113,5;4,8;4,0;36;12,8
55;Buren;2015;691;0,38;407,0;138,3;4,4;13,7;38;12,6
56;Capelle aan den IJssel;2015;688;1,35;733,8;84,5;4,4;0,2;45;52,4
57;Castricum;2015;1275;3,2;391,5;107,0;0,7;3,3;47;13,0
58;Coevorden;2015;2589;3,94;531,0;115,2;5,7;15,1;46;39,4
59;Cranendonck;2015;916;0,49;522,6;124,6;1,1;8,7;39;19,2
60;Cuijk;2015;2603;1,22;548,5;78,9;;9,5;38;27,0
61;Culemborg;2015;1991;1,81;606,9;114,6;3,4;1,7;45;38,9
62;Dalfsen;2015;167;0,36;557,9;127,3;3,4;20,1;39;13,0
63;Dantumadiel;2015;1333;3,15;338,5;96,5;0,0;11,0;47;41,4
64;De Bilt;2015;1906;0,71;596,5;144,5;3,1;2,8;49;21,6
65;De Fryske Marren;2015;1006;2,15;538,1;139,8;1,0;13,4;44;27,2
66;De Ronde Venen;2015;1797;1,64;506,5;143,0;2,7;6,1;39;15,8
67;De Wolden;2015;58;0,85;442,7;145,3;3,0;20,9;44;14,3
68;Delft;2015;2046;5,05;654,5;87,4;2,9;0,8;45;46,1
69;Den Haag;2015;930;5,71;692,5;121,0;2,7;3,3;45;82,8
70;Den Helder;2015;367;6,37;604,2;66,8;4,7;3,5;40;44,1
71;Deurne;2015;2319;3,46;565,9;127,7;7,8;13,6;48;19,6
72;Deventer;2015;2807;9,13;659,9;106,2;5,4;3,8;46;45,7
73;Diemen;2015;2875;4,13;888,7;134,3;4,5;0,0;39;32,9
74;Dinkelland;2015;1033;1,93;587,6;133,6;1,6;24,0;41;13,8
75;Doesburg;2015;-1383;3,52;427,1;95,3;3,9;1,2;44;47,0
76;Doetinchem;2015;3184;9,91;758,0;108,5;6,6;4,1;49;34,1
77;Dongen;2015;1823;1,97;465,1;107,7;4,0;5,8;42;19,2
78;Dordrecht;2015;2019;34,65;601,6;81,5;3,9;0,8;45;54,4
79;Drechterland;2015;-152;1,04;402,6;116,0;4,0;17,6;41;11,2
80;Drimmelen;2015;-80;0,75;419,8;110,2;4,1;10,1;48;10,6
81;Dronten;2015;-752;1,98;504,0;124,1;6,0;14,4;44;27,5
82;Druten;2015;1819;1,64;513,7;102,3;1,3;7,0;43;23,7
83;Duiven;2015;1495;1,17;747,8;98,8;7,0;3,1;41;27,6
84;Echt-Susteren;2015;1133;3,13;517,6;116,1;9,2;7,6;44;22,8
85;Edam-Volendam;2015;148;0,85;559,1;130,1;1,6;3,7;37;12,6
